myoclonic epilepsy	CUI=C0014550	PREF=Myoclonic Epilepsy	TUI=T047	STY=Disease or Syndrome
juvenile epilepsy, myoclonic	CUI=C0270853	PREF=Juvenile myoclonic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
juvenile myoclonic epilepsies	CUI=C0270853	PREF=Juvenile myoclonic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
juvenile myoclonic epilepsy	CUI=C0270853	PREF=Juvenile myoclonic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
juvenile myoclonic epilepsy	CUI=C0270853	PREF=Juvenile myoclonic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
juvenile myoclonic epilepsy (disorder)	CUI=C0270853	PREF=Juvenile myoclonic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
myoclonic epilepsies, adolescent	CUI=C0270853	PREF=Juvenile myoclonic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
myoclonic epilepsies, juvenile	CUI=C0270853	PREF=Juvenile myoclonic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
myoclonic juvenile epilepsies	CUI=C0270853	PREF=Juvenile myoclonic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
myoclonic juvenile epilepsy	CUI=C0270853	PREF=Juvenile myoclonic epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Symptomatic generalised epilepsy	CUI=C0270854	PREF=Symptomatic generalised epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Early Myoclonic Encephalopathy	CUI=C0270855	PREF=Early Myoclonic Encephalopathy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
early myoclonic encephalopathy (disorder)	CUI=C0270855	PREF=Early Myoclonic Encephalopathy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
myoclonic epilepsy, neonatal, with suppression-burst pattern	CUI=C0270855	PREF=Early Myoclonic Encephalopathy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Myoclonic Epilepsy, Neonatal, With Suppression-Burst Pattern	CUI=C0270855	PREF=Early Myoclonic Encephalopathy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
symptomatic early myoclonic encephalopathy	CUI=C0270855	PREF=Early Myoclonic Encephalopathy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
symptomatic early myoclonic encephalopathy	CUI=C0270855	PREF=Early Myoclonic Encephalopathy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsies, reflex	CUI=C0270857	PREF=Epilepsy, Reflex	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy associated with specific stimuli	CUI=C0270857	PREF=Epilepsy, Reflex	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy, reflex	CUI=C0270857	PREF=Epilepsy, Reflex	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy, sensory-induced	CUI=C0270857	PREF=Epilepsy, Reflex	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
reflex epilepsies	CUI=C0270857	PREF=Epilepsy, Reflex	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
reflex epilepsy (disorder)	CUI=C0270857	PREF=Epilepsy, Reflex	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
sensory-induced epilepsy	CUI=C0270857	PREF=Epilepsy, Reflex	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
juvenile cerebellar degeneration and myoclonus (disorder)	CUI=C0270977	PREF=Juvenile cerebellar degeneration AND myoclonus	TUI=T047	STY=Disease or Syndrome	
hallucination seizure	CUI=C0278188	PREF=Visual partial seizure	TUI=T047	STY=Disease or Syndrome	
partial seizure, visual	CUI=C0278188	PREF=Visual partial seizure	TUI=T047	STY=Disease or Syndrome	
partial seizures, visual	CUI=C0278188	PREF=Visual partial seizure	TUI=T047	STY=Disease or Syndrome	
seizure, visual partial	CUI=C0278188	PREF=Visual partial seizure	TUI=T047	STY=Disease or Syndrome	
visual partial seizures	CUI=C0278188	PREF=Visual partial seizure	TUI=T047	STY=Disease or Syndrome	
visual seizure	CUI=C0278188	PREF=Visual partial seizure	TUI=T047	STY=Disease or Syndrome	
visual seizure (disorder)	CUI=C0278188	PREF=Visual partial seizure	TUI=T047	STY=Disease or Syndrome	
visual seizure (finding)	CUI=C0278188	PREF=Visual partial seizure	TUI=T047	STY=Disease or Syndrome	
gustatory partial seizures	CUI=C0278192	PREF=Gustatory Partial Seizure	TUI=T047	STY=Disease or Syndrome	
gustatory seizure	CUI=C0278192	PREF=Gustatory Partial Seizure	TUI=T047	STY=Disease or Syndrome	
gustatory seizure (disorder)	CUI=C0278192	PREF=Gustatory Partial Seizure	TUI=T047	STY=Disease or Syndrome	
gustatory seizure (finding)	CUI=C0278192	PREF=Gustatory Partial Seizure	TUI=T047	STY=Disease or Syndrome	
partial seizure, gustatory	CUI=C0278192	PREF=Gustatory Partial Seizure	TUI=T047	STY=Disease or Syndrome	
partial seizures, gustatory	CUI=C0278192	PREF=Gustatory Partial Seizure	TUI=T047	STY=Disease or Syndrome	
seizure, gustatory partial	CUI=C0278192	PREF=Gustatory Partial Seizure	TUI=T047	STY=Disease or Syndrome	
reading epilepsy	CUI=C0278193	PREF=Reflex Epilepsy, Reading	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Reading seizure	CUI=C0278193	PREF=Reflex Epilepsy, Reading	TUI=T047	STY=Disease or Syndrome	
partial seizure with impaired consciousness	CUI=C0278199	PREF=Partial seizure with impaired consciousness	TUI=T047	STY=Disease or Syndrome	
partial seizure with impaired consciousness (disorder)	CUI=C0278199	PREF=Partial seizure with impaired consciousness	TUI=T047	STY=Disease or Syndrome	
partial seizure with impaired consciousness (finding)	CUI=C0278199	PREF=Partial seizure with impaired consciousness	TUI=T047	STY=Disease or Syndrome	
partial seizure with illusions and hallucinations	CUI=C0278202	PREF=Partial seizure with illusions and hallucinations	TUI=T047	STY=Disease or Syndrome	
partial seizure with illusions and hallucinations (disorder)	CUI=C0278202	PREF=Partial seizure with illusions and hallucinations	TUI=T047	STY=Disease or Syndrome	
partial seizure with illusions and hallucinations (finding)	CUI=C0278202	PREF=Partial seizure with illusions and hallucinations	TUI=T047	STY=Disease or Syndrome	
partial seizure with multiple symptoms	CUI=C0278203	PREF=Partial seizure with multiple symptoms	TUI=T047	STY=Disease or Syndrome	
partial seizure with multiple symptoms (disorder)	CUI=C0278203	PREF=Partial seizure with multiple symptoms	TUI=T047	STY=Disease or Syndrome	
partial seizure with multiple symptoms (finding)	CUI=C0278203	PREF=Partial seizure with multiple symptoms	TUI=T047	STY=Disease or Syndrome	
Landau-Kleffner syndrome	CUI=C0282512	PREF=Landau-Kleffner syndrome	TUI=T047	STY=Mental or Behavioral Dysfunction	Epilepsy=Yes
Acquired aphasia with epilepsy	CUI=C0282512	PREF=Landau-Kleffner syndrome	TUI=T047	STY=Mental or Behavioral Dysfunction	Epilepsy=Yes
Acquired epileptic aphasia	CUI=C0282512	PREF=Landau-Kleffner syndrome	TUI=T047	STY=Mental or Behavioral Dysfunction	Epilepsy=Yes
Acquired Aphasia with Convulsive Disorder	CUI=C0282512	PREF=Landau-Kleffner syndrome	TUI=T047	STY=Mental or Behavioral Dysfunction	Epilepsy=Yes
Acquired aphasia with epilepsy	CUI=C0282512	PREF=Landau-Kleffner syndrome	TUI=T047	STY=Mental or Behavioral Dysfunction	Epilepsy=Yes
convulsive generalized seizure disorder	CUI=C0311334	PREF=Generalized convulsive epilepsy	TUI=T047	STY=Disease or Syndrome	
convulsive seizure disorder, generalized	CUI=C0311334	PREF=Generalized convulsive epilepsy	TUI=T047	STY=Disease or Syndrome	
epilepsies, generalized convulsive	CUI=C0311334	PREF=Generalized convulsive epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy, generalized convulsive	CUI=C0311334	PREF=Generalized convulsive epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
generalised convulsive epilepsy	CUI=C0311334	PREF=Generalized convulsive epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
generalised convulsive epilepsy nos	CUI=C0311334	PREF=Generalized convulsive epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
generalised-onset seizures	CUI=C0311334	PREF=Generalized convulsive epilepsy	TUI=T047	STY=Disease or Syndrome	
generalised-onset seizures	CUI=C0311334	PREF=Generalized convulsive epilepsy	TUI=T047	STY=Disease or Syndrome	
generalized convulsive epilepsies	CUI=C0311334	PREF=Generalized convulsive epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
generalized convulsive epilepsies	CUI=C0311334	PREF=Generalized convulsive epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
generalized convulsive epilepsy	CUI=C0311334	PREF=Generalized convulsive epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
generalized convulsive epilepsy (disorder)	CUI=C0311334	PREF=Generalized convulsive epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
generalized onset seizure disorder	CUI=C0311334	PREF=Generalized convulsive epilepsy	TUI=T047	STY=Disease or Syndrome	
generalized seizure dis convulsive	CUI=C0311334	PREF=Generalized convulsive epilepsy	TUI=T047	STY=Disease or Syndrome	
generalized seizure disorder, convulsive	CUI=C0311334	PREF=Generalized convulsive epilepsy	TUI=T047	STY=Disease or Syndrome	
seizure disorder, convulsive, generalized	CUI=C0311334	PREF=Generalized convulsive epilepsy	TUI=T047	STY=Disease or Syndrome	
epilepsy co-occurrent and due to dementia	CUI=C0338464	PREF=Epilepsy co-occurrent and due to dementia	TUI=T048	STY=Mental or Behavioral Dysfunction	Epilepsy=Yes
epilepsy co-occurrent and due to dementia (disorder)	CUI=C0338464	PREF=Epilepsy co-occurrent and due to dementia	TUI=T048	STY=Mental or Behavioral Dysfunction	Epilepsy=Yes
epilepsy with dementia	CUI=C0338464	PREF=Epilepsy co-occurrent and due to dementia	TUI=T048	STY=Mental or Behavioral Dysfunction	Epilepsy=Yes
epileptic dementia	CUI=C0338464	PREF=Epilepsy co-occurrent and due to dementia	TUI=T048	STY=Mental or Behavioral Dysfunction	Epilepsy=Yes
epileptic dementia (disorder)	CUI=C0338464	PREF=Epilepsy co-occurrent and due to dementia	TUI=T048	STY=Mental or Behavioral Dysfunction	Epilepsy=Yes
Symptomatic Myoclonic Epilepsies	CUI=C0338479	PREF=Symptomatic Myoclonic Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Symptomatic Myoclonic Epilepsy	CUI=C0338479	PREF=Symptomatic Myoclonic Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
akinetic epilepsies	CUI=C0347869	PREF= Epilepsy, Akinetic	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
akinetic epilepsy	CUI=C0347869	PREF= Epilepsy, Akinetic	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsies, akinetic	CUI=C0347869	PREF= Epilepsy, Akinetic	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy, akinetic	CUI=C0347869	PREF= Epilepsy, Akinetic	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epileptic seizures - akinetic	CUI=C0347869	PREF= Epilepsy, Akinetic	TUI=T047	STY=Disease or Syndrome	
epileptic seizures - akinetic (finding)	CUI=C0347869	PREF= Epilepsy, Akinetic	TUI=T047	STY=Disease or Syndrome	
seizures, akinetic	CUI=C0347869	PREF= Epilepsy, Akinetic	TUI=T047	STY=Disease or Syndrome	
epileptic seizures - clonic	CUI=C0347870	PREF=Epileptic seizures - clonic	TUI=T047	STY=Disease or Syndrome	
epileptic seizures - clonic (finding)	CUI=C0347870	PREF=Epileptic seizures - clonic	TUI=T047	STY=Disease or Syndrome	
epileptic seizures, clonic	CUI=C0347870	PREF=Epileptic seizures - clonic	TUI=T047	STY=Disease or Syndrome	
epilepsy, psychosensory	CUI=C0347873	PREF=Psychosensory epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
psychosensory epilepsy	CUI=C0347873	PREF=Psychosensory epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
psychosensory epilepsy (disorder)	CUI=C0347873	PREF=Psychosensory epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy, somatosensory	CUI=C0347874	PREF=Epilepsy, somatosensory	TUI=T047q	STY=Disease or Syndrome	Epilepsy=Yes
somatosensory epilepsy	CUI=C0347874	PREF=Epilepsy, somatosensory	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
somatosensory epilepsy (disorder)	CUI=C0347874	PREF=Epilepsy, somatosensory	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
rolandic epilepsy	CUI=C0376532	PREF=Epilepsy, Rolandic	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
focal encephalitis	CUI=C0393482	PREF=Focal encephalitis	TUI=T047	STY=Disease or Syndrome	
focal encephalitis (disorder)	CUI=C0393482	PREF=Focal encephalitis	TUI=T047	STY=Disease or Syndrome	
rasmussen syndrome	CUI=C0393484	PREF=Rasmussen Syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Rasmussen encephalitis	CUI=C0393484	PREF=Rasmussen Syndrome	TUI=T047	STY=Disease or Syndrome	
other specified myoclonus	CUI=C0393618	PREF=Other specified myoclonus	TUI=T047	STY=Disease or Syndrome	
other specified myoclonus (disorder)	CUI=C0393618	PREF=Other specified myoclonus	TUI=T047	STY=Disease or Syndrome	
symptomatic myoclonus	CUI=C0393619	PREF=Symptomatic myoclonus	TUI=T047	STY=Disease or Syndrome	
symptomatic myoclonus (disorder)	CUI=C0393619	PREF=Symptomatic myoclonus	TUI=T047	STY=Disease or Syndrome	
drug-induced myoclonus	CUI=C0393622	PREF= Drug-induced myoclonus	TUI=T046	STY=Pathologic Function	
drug-induced myoclonus (disorder)	CUI=C0393622	PREF= Drug-induced myoclonus	TUI=T046	STY=Pathologic Function	
segmental cord myoclonus	CUI=C0393623	PREF=Segmental cord myoclonus	TUI=T047	STY=Disease or Syndrome	
segmental cord myoclonus (disorder)	CUI=C0393623	PREF=Segmental cord myoclonus	TUI=T047	STY=Disease or Syndrome	
palatal-tympanic myoclonus	CUI=C0393624	PREF=Palatal-tympanic myoclonus	TUI=T047	STY=Disease or Syndrome	
palatal-tympanic myoclonus (disorder)	CUI=C0393624	PREF=Palatal-tympanic myoclonus	TUI=T047	STY=Disease or Syndrome	
hyoid myoclonus	CUI=C0393625	PREF=hyoid myoclonus	TUI=T047	STY=Disease or Syndrome	
hyoid myoclonus (disorder)	CUI=C0393625	PREF=hyoid myoclonus (disorder)	TUI=T047	STY=Disease or Syndrome	
dancing eyes dancing feet syndrome	CUI=C0393626	PREF=Opsoclonus-Myoclonus Syndrome	TUI=T047	STY=Disease or Syndrome	
dancing eyes, dancing feet syndrome	CUI=C0393626	PREF=Opsoclonus-Myoclonus Syndrome	TUI=T047	STY=Disease or Syndrome	
dancing eyes-dancing feet syndrome	CUI=C0393626	PREF=Opsoclonus-Myoclonus Syndrome	TUI=T047	STY=Disease or Syndrome	
opsoclonus myoclonus ataxia	CUI=C0393626	PREF=Opsoclonus-Myoclonus Syndrome	TUI=T047	STY=Disease or Syndrome	
opsoclonus myoclonus syndrome	CUI=C0393626	PREF=Opsoclonus-Myoclonus Syndrome	TUI=T047	STY=Disease or Syndrome	
opsoclonus-myoclonus syndrome (disorder)	CUI=C0393626	PREF=Opsoclonus-Myoclonus Syndrome	TUI=T047	STY=Disease or Syndrome	
Benign atypical partial epilepsy in childhood	CUI=C0393673	PREF=Benign atypical partial epilepsy in childhood	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
BCEOP - benign childhood epilepsy with occipital paroxysms	CUI=C0393675	PREF=Childhood Benign Occipital Epilepsy	TUI=T047	STY=Disease or Syndrome	
benign occipital epilepsy of childhood	CUI=C0393675	PREF=Childhood Benign Occipital Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
childhood benign occipital epilepsy	CUI=C0393675	PREF=Childhood Benign Occipital Epilepsy	TUI=T047	STY=Disease or Syndrome	
childhood benign occipital epilepsy	CUI=C0393675	PREF=Childhood Benign Occipital Epilepsy	TUI=T047	STY=Disease or Syndrome	
childhood epilepsy with occipital paroxysms	CUI=C0393675	PREF=Childhood Benign Occipital Epilepsy	TUI=T047	STY=Disease or Syndrome	
childhood epilepsy with occipital paroxysms (disorder)	CUI=C0393675	PREF=Childhood Benign Occipital Epilepsy	TUI=T047	STY=Disease or Syndrome	
panayiotopoulos syndrome	CUI=C0393676	PREF=Panayiotopoulos syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Early-onset benign childhood occipital epilepsy	CUI=C0393676	PREF=Panayiotopoulos syndrome	TUI=T047	STY=Disease or Syndrome	
Benign childhood occipital epilepsy Panayiotopoulos type	CUI=C0393676	PREF=Panayiotopoulos syndrome	TUI=T047	STY=Disease or Syndrome	
Parietal lobe epilepsy	CUI=C0393690	PREF=Parietal lobe epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
parietal lobe epilepsy	CUI=C0393690	PREF=Parietal lobe epilepsy	TUI=T047	STY=Disease or Syndrome	
Parietal lobe epilepsy (disorder)	CUI=C0393690	PREF=Parietal lobe epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Lobe Epilepsy, Occipital	CUI=C0393691	PREF=Occipital Lobe Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
occipital lobe epilepsiy	CUI=C0393691	PREF=Occipital Lobe Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Occipital lobe epilepsy	CUI=C0393691	PREF=Occipital Lobe Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Occipital lobe epilepsy (disorder)	CUI=C0393691	PREF=Occipital Lobe Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
occipital lobe seizure	CUI=C0393691	PREF=Occipital Lobe Epilepsy	TUI=T047	STY=Disease or Syndrome	
occipital lobe seizures	CUI=C0393691	PREF=Occipital Lobe Epilepsy	TUI=T047	STY=Disease or Syndrome	
epilepsy with generalised tonic clonic seizures alone	CUI=C0393697	PREF=Epilepsy with grand mal seizures on awakening (disorder)	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy with generalised tonic clonic seizures on awakening	CUI=C0393697	PREF=Epilepsy with grand mal seizures on awakening (disorder)	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy with grand mal seizures on awakening	CUI=C0393697	PREF=Epilepsy with grand mal seizures on awakening (disorder)	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
doose syndrome	CUI=C0393702	PREF=Myoclonic Astatic Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
dooze syndrome	CUI=C0393702	PREF=Myoclonic Astatic Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy with myoclonic and astatic seizures	CUI=C0393702	PREF=Myoclonic Astatic Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy with myoclonic astatic seizures	CUI=C0393702	PREF=Myoclonic Astatic Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy with myoclonic-astatic seizures	CUI=C0393702	PREF=Myoclonic Astatic Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy, myoclonic astatic	CUI=C0393702	PREF=Myoclonic Astatic Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
myoclonic astatic epilepsies	CUI=C0393702	PREF=Myoclonic Astatic Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
myoclonic astatic epilepsies	CUI=C0393702	PREF=Myoclonic Astatic Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
myoclonic astatic epilepsy	CUI=C0393702	PREF=Myoclonic Astatic Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
myoclonic astatic epilepsy 	CUI=C0393702	PREF=Myoclonic Astatic Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
myoclonic astatic epilepsy (disorder)	CUI=C0393702	PREF=Myoclonic Astatic Epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
myoclonic atonic seizure	CUI=C0393702	PREF=Myoclonic Astatic Epilepsy	TUI=T047	STY=Disease or Syndrome	
myoclonic-atonic seizures	CUI=C0393702	PREF=Myoclonic Astatic Epilepsy	TUI=T047	STY=Disease or Syndrome	
myoclonic absence seizure	CUI=C0393703	PREF=Myoclonic Absence Epilepsy	TUI=T047	STY=Disease or Syndrome	
myoclonic absence seizure	CUI=C0393703	PREF=Myoclonic Absence Epilepsy	TUI=T047	STY=Disease or Syndrome	
myoclonic absences	CUI=C0393703	PREF=Myoclonic Absence Epilepsy	TUI=T047	STY=Disease or Syndrome	
Early infant epileptic encephalopathy wth suppression bursts	CUI=C0393706	PREF= Early infantile epileptic encephalopathy with suppression bursts	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Early infantile epileptic encephalopathy with suppression bursts	CUI=C0393706	PREF= Early infantile epileptic encephalopathy with suppression bursts	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Early infantile epileptic encephalopathy with suppression bursts	CUI=C0393706	PREF= Early infantile epileptic encephalopathy with suppression bursts	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
Ohtahara syndrome	CUI=C0393706	PREF= Early infantile epileptic encephalopathy with suppression bursts	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
situation-related seizures	CUI=C0393707	PREF=situation-related seizures	TUI=T033	STY=Finding	
situation-related seizures (disorder)	CUI=C0393707	PREF=situation-related seizures	TUI=T033	STY=Finding	
drug-induced epilepsy	CUI=C0393715	PREF=drug-induced epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
drug-induced epilepsy (disorder)	CUI=C0393715	PREF=drug-induced epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsies, photosensitive reflex	CUI=C0393720	PREF= Reflex Epilepsy, Photosensitive	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy, photogenic	CUI=C0393720	PREF= Reflex Epilepsy, Photosensitive	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy, photosensitive	CUI=C0393720	PREF= Reflex Epilepsy, Photosensitive	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy, photosensitive reflex	CUI=C0393720	PREF= Reflex Epilepsy, Photosensitive	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
photic epilepsy	CUI=C0393720	PREF= Reflex Epilepsy, Photosensitive	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
photogenic epilepsy	CUI=C0393720	PREF= Reflex Epilepsy, Photosensitive	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
photogenic epilepsy (disorder)	CUI=C0393720	PREF= Reflex Epilepsy, Photosensitive	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
photosensitive epilepsies	CUI=C0393720	PREF= Reflex Epilepsy, Photosensitive	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
photosensitive epilepsy	CUI=C0393720	PREF= Reflex Epilepsy, Photosensitive	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
photosensitive reflex epilepsies	CUI=C0393720	PREF= Reflex Epilepsy, Photosensitive	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
photosensitive reflex epilepsy	CUI=C0393720	PREF= Reflex Epilepsy, Photosensitive	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
reflex epilepsies, photosensitive	CUI=C0393720	PREF= Reflex Epilepsy, Photosensitive	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
reflex epilepsy, photosensitive	CUI=C0393720	PREF= Reflex Epilepsy, Photosensitive	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
television epilepsy	CUI=C0393720	PREF= Reflex Epilepsy, Photosensitive	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy only in relation to photic stimulation	CUI=C0393721	PREF=Pure photosensitive epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy only in relation to photic stimulation (disorder)	CUI=C0393721	PREF=Pure photosensitive epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy only to photic stimul	CUI=C0393721	PREF=Pure photosensitive epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
pure photosensitive epilepsy	CUI=C0393721	PREF=Pure photosensitive epilepsy	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
eyelid myoclonus with absences	CUI=C0393722	PREF=Eyelid myoclonus with absences	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
eyelid myoclonus with absences (disorder)	CUI=C0393722	PREF=Eyelid myoclonus with absences	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
photomyoclonus	CUI=C0393722	PREF=Eyelid myoclonus with absences	TUI=T047	STY=Disease or Syndrome	
non-convulsive simple partial status epilepticus	CUI=C0393733	PREF=Non-convulsive simple partial status epilepticus	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
non-convulsive simple partial status epilepticus (disorder)	CUI=C0393733	PREF=Non-convulsive simple partial status epilepticus	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
complex partial status epilepticus 	CUI=C0393734	PREF=Complex Partial Status Epilepticus	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
psychomotor status	CUI=C0393734	PREF=Complex Partial Status Epilepticus	TUI=T047	STY=Disease or Syndrome	
status epilepticus, complex partial	CUI=C0393734	PREF=Complex Partial Status Epilepticus	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy dementia amelogenesis imperfecta	CUI=C0406740	PREF=Kohlschutter Tonz syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy, dementia and amelogenesis imperfecta	CUI=C0406740	PREF=Kohlschutter Tonz syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
epilepsy, mental deterioration and yellow teeth	CUI=C0406740	PREF=Kohlschutter Tonz syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
kohlschutter tonz syndrome	CUI=C0406740	PREF=Kohlschutter Tonz syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
kohlschutter's syndrome	CUI=C0406740	PREF=Kohlschutter Tonz syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
kohlschutter's syndrome (disorder)	CUI=C0406740	PREF=Kohlschutter Tonz syndrome	TUI=T047	STY=Disease or Syndrome	Epilepsy=Yes
ktzs	CUI=C0406740	PREF=Kohlschutter Tonz syndrome	TUI=T047	STY=Disease or Syndrome	
auditory partial seizure	CUI=C0422852	PREF=Seizures, Auditory	TUI=T046	STY=Pathologic Function	
auditory seizure (disorder)	CUI=C0422852	PREF=Seizures, Auditory	TUI=T046	STY=Pathologic Function	
auditory seizure (finding)	CUI=C0422852	PREF=Seizures, Auditory	TUI=T046	STY=Pathologic Function	
auditory seizures	CUI=C0422852	PREF=Seizures, Auditory	TUI=T046	STY=Pathologic Function	
Auditory uncinate fit	CUI=C0422852	PREF=Seizures, Auditory	TUI=T046	STY=Pathologic Function	
seizure, auditory	CUI=C0422852	PREF=Seizures, Auditory	TUI=T046	STY=Pathologic Function	
